lap_var,blur
126.65374687367073,1
315.87269374997305,0
149.65355676414688,2
132.13427132621496,1
142.94526508394932,1
302.3630748733114,0
142.41085234288087,2
133.87070634085254,1
135.92543141080628,1
433.28443118916664,0
310.6911994179618,2
393.4040669400977,1
357.08159430748253,1
505.68708946228725,0
323.7316381251169,2
385.2681579081208,1
364.52812221923193,1
490.64482944113234,0
266.408306335371,2
374.6595523964775,1
364.66999711305306,1
484.46948160874314,0
329.89380676464833,2
338.2454129298935,1
346.2815504336241,1
442.51864269567716,0
261.94668697437487,2
346.3535334821936,1
323.79701967493065,1
922.458114304417,0
388.38098313734366,2
462.4565171917317,1
472.13812692911335,1
1384.2807561165894,0
406.62824402382705,2
620.7292171602405,1
431.51682507343656,1
1294.0238791351092,0
387.4278148409764,2
605.273935877322,1
399.922288526813,1
1459.5660540637323,0
415.72876322707896,2
379.2388947022123,1
540.9458488506674,1
1200.1560197814567,0
397.4174015540018,2
416.07885776210867,1
475.9901301489195,1
835.318223071853,0
292.2350104097224,2
483.27724922968747,1
134.83742183878883,1
825.1249572249311,0
233.41931968873268,2
486.13919791575404,1
128.3552616272459,1
900.8981765571067,0
214.44782707722993,2
423.7443004279989,1
112.5728145720442,1
866.3162124866308,0
230.25503405542298,2
349.54088231297504,1
121.60504739581134,1
828.7108766005978,0
206.70117959843515,2
347.55389631406126,1
129.37919107248266,1
713.9008113213408,0
356.59962472174374,2
550.6741685108846,1
409.6335986262328,1
890.0295136581768,0
283.893691657079,2
449.32916406105454,1
397.93395507079407,1
853.6386312030558,0
292.9574040822037,2
415.8415353719519,1
390.64931545917955,1
789.845508378574,0
286.5554631536414,2
505.65252328122244,1
333.1967516822223,1
601.7205500431512,0
266.72569294859795,2
476.24867397076804,1
314.42286852437496,1
680.0905255510085,0
398.4424315441623,2
495.1884562639193,1
373.15280873460256,1
785.594106219991,0
511.000663268011,2
547.7111994675431,1
491.0151785149606,1
797.0639582949827,0
513.1601810456206,2
540.5613255094337,1
487.9135958267316,1
694.0768187330458,0
512.8901088489254,2
531.4735343680557,1
